City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,San Juan De Uraba,CO,2021-04-07 17:31:11,8.7592,-76.5297,83.5,77,99,6.08
68,Dandong,CN,2021-04-07 17:31:11,40.1292,124.3947,41.58,31,0,4.97
69,Bambous Virieux,MU,2021-04-07 17:31:11,-20.3428,57.7575,81.0,78,75,8.05
70,Barrow,US,2021-04-07 17:31:12,71.2906,-156.7887,-18.4,69,75,11.5
71,Bengkulu,ID,2021-04-07 17:31:12,-3.8004,102.2655,75.6,89,74,4.03
72,Cherskiy,RU,2021-04-07 17:31:13,68.75,161.3,-27.27,99,78,4.43
73,Upernavik,GL,2021-04-07 17:31:13,72.7868,-56.1549,8.96,86,24,6.13
74,Awjilah,LY,2021-04-07 17:31:13,29.1081,21.2869,72.36,24,15,8.86
75,Mount Gambier,AU,2021-04-07 17:31:14,-37.8333,140.7667,46.4,100,75,8.05
76,Castro,BR,2021-04-07 17:31:14,-24.7911,-50.0119,72.18,57,32,7.67
77,Saskylakh,RU,2021-04-07 17:31:14,71.9167,114.0833,-0.31,97,100,5.17
78,Punta Arenas,CL,2021-04-07 17:31:15,-53.15,-70.9167,55.4,67,0,11.5
79,Busselton,AU,2021-04-07 17:31:15,-33.65,115.3333,60.01,84,91,3.0
80,Bathsheba,BB,2021-04-07 17:31:16,13.2167,-59.5167,86.0,51,20,14.97
81,Dawson Creek,CA,2021-04-07 17:31:16,55.7666,-120.2362,42.8,52,40,9.22
82,Butaritari,KI,2021-04-07 17:31:16,3.0707,172.7902,81.12,79,89,13.27
83,Port Elizabeth,ZA,2021-04-07 17:28:58,-33.918,25.5701,60.8,94,75,9.22
84,Tautira,PF,2021-04-07 17:31:17,-17.7333,-149.15,75.2,69,20,4.61
85,Hilo,US,2021-04-07 17:31:17,19.7297,-155.09,66.2,82,75,3.44
86,Port Blair,IN,2021-04-07 17:31:17,11.6667,92.75,81.41,69,81,2.59
87,Itupiranga,BR,2021-04-07 17:29:08,-5.1347,-49.3267,95.0,43,40,8.05
88,Sorgun,TR,2021-04-07 17:31:18,39.8101,35.186,56.32,38,0,6.49
89,Makakilo City,US,2021-04-07 17:31:18,21.3469,-158.0858,69.8,77,75,5.75
90,Vostok,RU,2021-04-07 17:31:19,46.4856,135.8833,13.59,76,87,3.24
91,San Quintin,MX,2021-04-07 17:31:19,30.4833,-115.95,68.63,59,59,12.71
92,Katsuura,JP,2021-04-07 17:31:19,35.1333,140.3,53.01,54,73,5.91
93,Kapaa,US,2021-04-07 17:31:20,22.0752,-159.319,71.6,68,40,19.57
94,Kamenka,RU,2021-04-07 17:31:20,51.3223,42.7678,48.0,85,82,13.0
95,Carnarvon,AU,2021-04-07 17:31:20,-24.8667,113.6333,77.0,73,72,17.27
96,Luderitz,NA,2021-04-07 17:30:05,-26.6481,15.1594,65.71,71,0,10.58
97,Port Alfred,ZA,2021-04-07 17:31:21,-33.5906,26.891,66.31,93,95,13.18
98,Damghan,IR,2021-04-07 17:31:21,36.1683,54.348,67.89,19,10,4.45
99,Doka,SD,2021-04-07 17:31:22,13.5167,35.7667,95.27,9,32,7.67
100,Qaanaaq,GL,2021-04-07 17:31:22,77.484,-69.3632,3.25,72,51,9.46
101,Norman Wells,CA,2021-04-07 17:31:22,65.282,-126.8329,-4.0,71,75,8.05
102,Ostersund,SE,2021-04-07 17:28:04,63.1792,14.6357,32.0,64,20,13.8
103,Muravlenko,RU,2021-04-07 17:31:23,63.7898,74.523,26.94,95,99,9.89
104,Baykit,RU,2021-04-07 17:31:23,61.67,96.37,25.21,98,93,2.1
105,Henties Bay,NA,2021-04-07 17:31:24,-22.116,14.2845,63.46,83,3,7.0
106,Bluff,NZ,2021-04-07 17:31:24,-46.6,168.3333,46.99,95,44,12.62
107,Tuktoyaktuk,CA,2021-04-07 17:31:24,69.4541,-133.0374,-9.4,77,75,8.05
108,Hailar,CN,2021-04-07 17:31:25,49.2,119.7,32.2,46,11,5.82
109,Pisco,PE,2021-04-07 17:31:25,-13.7,-76.2167,73.4,68,0,9.22
110,Sapa,PH,2021-04-07 17:31:25,5.1544,120.3241,80.28,76,53,1.5
111,Quebrangulo,BR,2021-04-07 17:31:26,-9.3189,-36.4711,85.68,43,100,10.96
112,Hermanus,ZA,2021-04-07 17:31:26,-34.4187,19.2345,66.0,81,71,1.99
113,Cayenne,GF,2021-04-07 17:30:00,4.9333,-52.3333,75.2,94,75,3.71
114,Okhotsk,RU,2021-04-07 17:31:26,59.3833,143.3,7.75,95,100,4.68
115,Laguna,US,2021-04-07 17:31:27,38.421,-121.4238,59.0,62,1,9.22
116,Anadyr,RU,2021-04-07 17:31:27,64.75,177.4833,-18.4,76,0,6.71
117,Atar,MR,2021-04-07 17:31:27,20.5169,-13.0499,95.88,10,15,14.67
118,Ostrovnoy,RU,2021-04-07 17:31:28,68.0531,39.5131,33.37,78,49,28.39
119,Kawalu,ID,2021-04-07 17:31:28,-7.3817,108.2082,73.38,93,100,0.83
