City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
201,tiarei,PF,78.8,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
202,zhanakorgan,KZ,74.52,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
203,cabo san lucas,MX,77.0,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
207,barabai,ID,93.24,broken clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
210,victoria,HK,78.8,few clouds,22.2855,114.1577,Mini Hotel Central
214,tabou,CI,80.55,overcast clouds,4.423,-7.3528,hotêl doufoulougou
221,bathsheba,BB,77.0,few clouds,13.2167,-59.5167,Atlantis Hotel
222,alofi,NU,73.4,overcast clouds,-19.0595,-169.9187,Taloa Heights
227,ballina,AU,75.2,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
231,santa maria,BR,70.63,few clouds,-29.6842,-53.8069,Hotel Morotin
236,sibolga,ID,84.52,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
239,ternate,ID,84.45,heavy intensity rain,0.8,127.4,Grand Dafam Bela Ternate
246,iquitos,PE,77.0,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
247,waingapu,ID,84.22,clear sky,-9.6567,120.2641,Pondok Wisata Elim
258,sola,VU,81.09,moderate rain,-13.8833,167.55,Leumerus Bungalows
262,charters towers,AU,84.11,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
267,grand gaube,MU,82.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
270,sechura,PE,71.47,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
272,riyadh,SA,95.0,scattered clouds,24.6877,46.7219,InterContinental Riyadh
279,hervey bay,AU,80.01,light rain,-25.2986,152.8535,Shelly Bay Resort
280,abonnema,NG,82.4,haze,4.7084,6.7931,Corper's Lodge Obonoma
286,adeje,ES,71.01,scattered clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
289,byron bay,AU,75.2,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
292,alice springs,AU,77.0,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
294,alvorada,BR,71.22,overcast clouds,-12.48,-49.1247,Cristal Plaza Hotel
303,eyl,SO,85.98,clear sky,7.9803,49.8164,Amiin Hotel
304,takoradi,GH,82.76,overcast clouds,4.8845,-1.7554,Raybow International Hotel
306,gashua,NG,92.32,overcast clouds,12.870999999999999,11.0482,Forte Oil - Old Lorry Park
307,madingou,CG,71.24,moderate rain,-4.1536,13.55,HOTEL KIM ELISA
308,sao filipe,CV,73.83,clear sky,14.8961,-24.4956,Tortuga B&B
310,yorosso,ML,86.59,clear sky,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
311,boke,GN,76.82,broken clouds,10.9409,-14.2967,Hôtel Rio Nunez - Boké
